ap,X,Y,floor,,,
7237-trinity-101-c,562,461,1,,,
7237-trinity-102-c,485,501,1,,,
7237-trinity-103-2-c,552,606,1,,,
7237-trinity-105-c,702,653,1,,,
7237-trinity-106-c,686,690,1,,,
7237-trinity-107-c,599,659,1,,,
7237-trinity-117-c,792,625,1,,,
7237-trinity-121-c,849,665,1,,,
7237-trinity-122-c,804,724,1,,,
7237-trinity-125-2-c,734,784,1,,,
7237-trinity-145-c,496,377,1,,,
7237-trinity-147-w,553,336,1,,,
7237-trinity-148-w,549,302,1,,,
7237-trinity-149-w,553,265,1,,,
7237-trinity-157-w,520,75,1,,,
7237-trinity-158-w,519,123,1,,,
7237-trinity-159-w,523,168,1,,,
7237-trinity-160-w,520,198,1,,,
7237-trinity-161-w,520,230,1,,,
7237-trinity-162-w,521,266,1,,,
7237-trinity-163-w,522,297,1,,,
7237-trinity-164-w,522,333,1,,,
7237-trinity-165-br-1,671,154,1,,,
7237-trinity-175-w,653,71,1,,,
7237-trinity-165-br-2,638,62,1,,,
7237-trinity-202-w,521,536,2,,,
7237-trinity-203-w,522,564,2,,,
7237-trinity-204-c,486,622,2,,,
7237-trinity-205-w,551,620,2,,,
7237-trinity-206-w,580,642,2,,,
7237-trinity-207-w,612,663,2,,,
7237-trinity-208-w,633,675,2,,,
7237-trinity-209-w,668,691,2,,,
7237-trinity-210-w,690,705,2,,,
7237-trinity-211-w,719,725,2,,,
7237-trinity-212-w,749,745,2,,,
7237-trinity-213-c,762,748,2,,,
7237-trinity-213-w,775,749,2,,,
7237-trinity-217-w,795,719,2,,,
7237-trinity-218-w,807,696,2,,,
7237-trinity-219-w,831,662,2,,,
7237-trinity-220-w,855,650,2,,,
7237-trinity-221-w,843,639,2,,,
7237-trinity-222-w,818,632,2,,,
7237-trinity-229-w,646,644,2,,,
7237-trinity-230-w,615,630,2,,,
7237-trinity-231-w,591,610,2,,,
7237-trinity-235-w,550,537,2,,,
7237-trinity-236-w,550,497,2,,,
7237-trinity-237-w,550,464,2,,,
7237-trinity-238-c,502,429,2,,,
7237-trinity-246-c,569,423,2,,,
7237-trinity-247-w,550,365,2,,,
7237-trinity-248-w,547,340,2,,,
7237-trinity-249-w,549,296,2,,,
7237-trinity-250-w,550,270,2,,,
7237-trinity-257-w,661,129,2,,,
7237-trinity-258-w,694,128,2,,,
7237-trinity-259-w,659,100,2,,,
7237-trinity-260-w,632,101,2,,,
7237-trinity-261-w,591,100,2,,, 
7237-trinity-262-w,564,100,2,,,
7237-trinity-263-c,537,84,2,,,
7237-trinity-263-w,533,99,2,,,
7237-trinity-267-w,514,121,2,,,
7237-trinity-268-w,522,157,2,,,
7237-trinity-269-w,521,201,2,,,
7237-trinity-270-w,518,230,2,,,
7237-trinity-271-w,521,271,2,,,
7237-trinity-272-w,521,293,2,,,
7237-trinity-273-w,523,338,2,,,
7237-trinity-274-w,521,364,2,,,
7237-trinity-302-w,522,537,3,,,
7237-trinity-303-w,524,565,3,,,
7237-trinity-304-c,492,618,3,,,
7237-trinity-305-w,554,620,3,,,
7237-trinity-306-w,577,637,3,,,
7237-trinity-307-w,615,660,3,,,
7237-trinity-308-w,636,674,3,,,
7237-trinity-309-w,669,693,3,,,
7237-trinity-310-w,688,706,3,,,
7237-trinity-311-w,717,726,3,,,
7237-trinity-312-w,740,774,3,,,
7237-trinity-313-w,765,779,3,,,
7237-trinity-314-w,773,756,3,,,
7237-trinity-315-w,796,722,3,,,
7237-trinity-316-w,812,697,3,,,
7237-trinity-317-w,832,662,3,,,
7237-trinity-318-w,849,642,3,,,
7237-trinity-319-c,864,574,3,,,
7237-trinity-321-w,830,606,3,,,
7237-trinity-322-w,813,631,3,,,
7237-trinity-329-w,646,646,3,,,
7237-trinity-330-w,614,633,3,,,
7237-trinity-331-w,589,610,3,,,
7237-trinity-335-w,550,536,3,,,
7237-trinity-336-w,552,496,3,,,
7237-trinity-337-w,550,469,3,,,
7237-trinity-345-c,494,412,3,,,
7237-trinity-346-c,575,412,3,,,
7237-trinity-347-w,552,365,3,,,
7237-trinity-348-w,550,339,3,,,
7237-trinity-349-w,553,297,3,,,
7237-trinity-350-w,550,269,3,,,
7237-trinity-357-w,661,127,3,,,
7237-trinity-358-w,692,128,3,,,
7237-trinity-359-w,658,100,3,,,
7237-trinity-360-w,634,102,3,,,
7237-trinity-361-w,592,102,3,,,
7237-trinity-362-w,568,101,3,,,
7237-trinity-363-w,523,101,3,,,
7237-trinity-364-w,497,101,3,,,
7237-trinity-367-w,496,126,3,,,
7237-trinity-368-w,521,157,3,,,
7237-trinity-369-w,523,199,3,,,
7237-trinity-370-w,521,227,3,,,
7237-trinity-371-w,522,269,3,,,
7237-trinity-372-w,519,294,3,,,
7237-trinity-373-w,520,333,3,,,
7237-trinity-374-w,517,360,3,,,
7237-trinity-402-w,522,536,4,,,
7237-trinity-403-w,521,564,4,,,
7237-trinity-404-c,489,616,4,,,
7237-trinity-405-w,553,618,4,,,
7237-trinity-406-w,580,636,4,,,
7237-trinity-407-w,619,657,4,,,
7237-trinity-408-w,632,673,4,,,
7237-trinity-409-w,666,690,4,,,
7237-trinity-410-w,694,712,4,,,
7237-trinity-411-w,720,726,4,,,
7237-trinity-412-w,739,772,4,,,
7237-trinity-413-w,770,780,4,,,
7237-trinity-414-w,775,756,4,,,
7237-trinity-415-w,795,720,4,,,
7237-trinity-416-w,814,694,4,,,
7237-trinity-417-w,833,664,4,,,
7237-trinity-418-w,846,642,4,,,
7237-trinity-419-c,864,569,4,,,
7237-trinity-421-w,831,609,4,,,
7237-trinity-422-w,816,631,4,,,
7237-trinity-429-w,645,645,4,,,
7237-trinity-430-w,608,636,4,,,
7237-trinity-431-w,589,611,4,,,
7237-trinity-435-w,548,536,4,,,
7237-trinity-436-w,550,494,4,,,
7237-trinity-437-w,549,468,4,,,
7237-trinity-446-c,577,412,4,,,
7237-trinity-447-w,548,366,4,,,
7237-trinity-448-w,548,336,4,,,
7237-trinity-449-w,554,296,4,,,
7237-trinity-450-w,550,269,4,,,
7237-trinity-457-w,661,129,4,,,
7237-trinity-458-w,696,129,4,,,
7237-trinity-459-w,659,99,4,,,
7237-trinity-460-w,627,93,4,,,
7237-trinity-461-w,593,91,4,,,
7237-trinity-462-w,569,93,4,,,
7237-trinity-463-w,527,95,4,,,
7237-trinity-464-w,495,93,4,,,
7237-trinity-467-w,497,128,4,,,
7237-trinity-468-w,519,160,4,,,
7237-trinity-469-w,520,198,4,,,
7237-trinity-470-w,520,225,4,,,
7237-trinity-471-w,524,269,4,,,
7237-trinity-472-w,522,293,4,,,
7237-trinity-473-w,520,337,4,,,
7237-trinity-474-w,522,366,4,,,
